2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_slides - assumed 'ixt_slides' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 71]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_layout - assumed 'ixt_layout' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 72]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_w0 - assumed 'ixt_w0' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 73]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_w1 - assumed 'ixt_w1' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 74]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_w2 - assumed 'ixt_w2' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 75]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_logos - assumed 'ixt_logos' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 76]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_logow - assumed 'ixt_logow' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 77]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_logoh - assumed 'ixt_logoh' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 78]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_ctrl0 - assumed 'ixt_ctrl0' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 79]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_ctrl1 - assumed 'ixt_ctrl1' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 80]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_ctrl2 - assumed 'ixt_ctrl2' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 81]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_extfooter - assumed 'ixt_extfooter' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 82]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_ehblock - assumed 'ixt_ehblock' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 83]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_footerrss - assumed 'ixt_footerrss' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 84]
2010-11-01 23:14:12 Debug: Notice (8): Use of undefined constant ixt_uitheme - assumed 'ixt_uitheme' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 85]
2010-11-01 23:14:13 Debug: Notice (8): Use of undefined constant ixt_multiskin - assumed 'ixt_multiskin' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 86]
2010-11-01 23:14:13 Debug: Notice (8): Use of undefined constant ixt_fixskin - assumed 'ixt_fixskin' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 87]
2010-11-01 23:14:13 Debug: Notice (8): Use of undefined constant ixt_blconcat - assumed 'ixt_blconcat' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 88]
2010-11-01 23:14:13 Debug: Notice (8): Use of undefined constant ixt_sb1style - assumed 'ixt_sb1style' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 89]
2010-11-01 23:14:13 Debug: Notice (8): Use of undefined constant ixt_sb2style - assumed 'ixt_sb2style' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 90]
2010-11-01 23:14:13 Debug: Notice (8): Use of undefined constant ixt_eftstyle - assumed 'ixt_eftstyle' in [K:\wamp\portals\x250\trust\xoops_data\caches\smarty_compile\http%253A%252F%252Fx250.ru%25%25ixtcake-ixt0290542vintagecard-default^%%AA^AAE^AAE3663F%%assigns.html.php, line 91]
